func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,563,440.28293,22.73743,64.2,299177,440.28293,4.44,-1,1,-1,
2,564,390.2098,22.77739,52.1,22275,390.2098,3.62,-1,1,-1,
2,565,668.3915,22.78561,95.2,28475,668.3915,6.57,-1,1,-1,
2,566,637.79675,22.79016,57.7,61050,637.79675,3.95,-1,1,-1,
2,567,637.2948,22.7931,57.7,90512,637.2948,3.95,-1,1,-1,
2,568,638.296,22.79443,57.7,36236,638.296,3.95,-1,1,-1,
2,569,447.23697,22.79727,44.7,31407,447.23697,3.06,-1,1,-1,
2,570,553.2795,22.79855,49.1,63331,553.2795,3.4,-1,1,-1,
2,571,553.7774,22.80243,49.1,30774,553.7774,3.4,-1,1,-1,
2,572,447.7432,22.83504,44.6,15891,447.7432,3.06,-1,1,-1,
2,573,491.00897,22.83551,48.5,21503,491.00897,3.34,-1,1,-1,
2,574,701.8649,22.84437,63.9,44120,701.8649,4.37,-1,1,-1,
2,575,702.37195,22.87208,63.9,33938,702.37195,4.37,-1,1,-1,
2,576,491.25436,22.87599,48.7,21781,491.25436,3.34,-1,1,-1,
2,577,513.2489,22.9048,43.6,62222,513.2489,3,-1,1,-1,
2,578,679.3759,22.90613,60.8,30299,679.3759,4.16,-1,1,-1,
2,579,678.8744,22.90864,61,31816,678.8744,4.23,-1,1,-1,
2,580,584.556,22.92286,44.2,53177,584.556,3.05,-1,1,-1,
2,581,502.75293,22.92328,49.2,21834,502.75293,3.41,-1,1,-1,
2,582,584.2228,22.92488,44.3,105650,584.2228,3.05,-1,1,-1,
2,583,584.88837,22.92831,44.3,30456,584.88837,3.05,-1,1,-1,
2,584,583.88855,22.93234,44.5,143811,583.88855,3.05,-1,1,-1,
2,585,513.74945,22.93962,43.5,30984,513.74945,3,-1,1,-1,
2,586,502.50497,22.96421,49.5,24758,502.50497,3.41,-1,1,-1,
2,587,474.2881,22.96963,66.4,25690,474.2881,4.58,-1,1,-1,
2,588,643.60065,22.97398,55.3,187448,643.60065,3.81,-1,1,-1,
2,589,644.268,22.97497,55.4,64162,644.268,3.81,-1,1,-1,
2,590,643.26575,22.97671,55.5,169850,643.26575,3.81,-1,1,-1,
2,591,643.93396,22.97682,55.4,115682,643.93396,3.81,-1,1,-1,
2,592,563.2397,23.01201,74.7,82728,563.2397,5.12,-1,1,-1,
2,593,564.2452,23.01449,74.8,22003,564.2452,5.12,-1,1,-1,
2,594,338.66577,23.01809,33.2,81721,338.66577,2.31,-1,1,-1,
2,595,676.32385,23.02048,94.5,17942,676.32385,6.5,-1,1,-1,
2,596,339.1684,23.02299,33.2,42877,339.1684,2.31,-1,1,-1,
2,597,543.25616,23.02385,47.3,10214,543.25616,3.26,-1,1,-1,
2,598,448.2154,23.03058,60.2,27228,448.2154,4.17,-1,1,-1,
2,599,731.2539,23.12939,63,21509,731.2539,4.37,-1,1,-1,
2,600,730.7524,23.13187,62.9,36832,730.7524,4.3,-1,1,-1,
2,601,573.2717,23.13251,76.2,59790,573.2717,5.26,-1,1,-1,
2,602,574.2746,23.13302,76.4,25129,574.2746,5.26,-1,1,-1,
2,603,449.77286,23.13509,42.3,29098,449.77286,2.93,-1,1,-1,
