func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1372,498.78568,26.92225,46.6,63050,498.78568,3.2,-1,1,-1,
2,1373,699.4678,26.92237,105.2,28909,699.4678,7.26,-1,1,-1,
2,1374,508.30173,26.9227,47.9,254624,508.30173,3.27,-1,1,-1,
2,1375,498.2924,26.92316,46.9,18968,498.2924,3.2,-1,1,-1,
2,1376,757.42413,26.92447,66.7,38696,757.42413,4.57,-1,1,-1,
2,1377,633.80133,26.92633,58.6,36093,633.80133,4.02,-1,1,-1,
2,1378,632.9504,26.92634,58.4,20134,632.9504,4.02,-1,1,-1,
2,1379,828.5102,26.92705,125.4,35070,828.5102,8.63,-1,1,-1,
2,1380,633.30054,26.92728,58.6,119798,633.30054,4.02,-1,1,-1,
2,1381,471.7799,26.92738,45.2,26956,471.7799,3.13,-1,1,-1,
2,1382,632.1007,26.92743,58.4,24978,632.1007,4.02,-1,1,-1,
2,1383,632.44696,26.92755,58.5,44112,632.44696,4.02,-1,1,-1,
2,1384,631.945,26.92804,58.5,77287,631.945,4.02,-1,1,-1,
2,1385,756.92065,26.93033,67,91407,756.92065,4.64,-1,1,-1,
2,1386,504.61588,26.94238,44.3,21450,504.61588,3.06,-1,1,-1,
2,1387,658.33655,26.95605,58.2,29224,658.33655,4.02,-1,1,-1,
2,1388,504.95065,26.95609,44.3,27635,504.95065,3.06,-1,1,-1,
2,1389,756.4209,26.96598,66.8,107580,756.4209,4.57,-1,1,-1,
2,1390,575.3137,26.98467,80.9,220201,575.3137,5.54,-1,1,-1,
2,1391,576.3155,26.9859,81,68030,576.3155,5.61,-1,1,-1,
2,1392,611.0375,27.04279,51.8,50141,611.0375,3.54,-1,1,-1,
2,1393,541.75885,27.06136,49.2,20833,541.75885,3.4,-1,1,-1,
2,1394,611.784,27.06689,52.3,23622,611.784,3.61,-1,1,-1,
2,1395,611.53687,27.08308,51.9,38543,611.53687,3.54,-1,1,-1,
2,1396,611.2866,27.10894,52,49110,611.2866,3.61,-1,1,-1,
2,1397,682.3702,27.14785,64.4,57976,682.3702,4.43,-1,1,-1,
2,1398,682.8688,27.14901,65,19890,682.8688,4.5,-1,1,-1,
2,1399,681.8687,27.17009,64.5,55664,681.8687,4.43,-1,1,-1,
2,1400,629.78613,27.20142,48.4,25978,629.78613,3.33,-1,1,-1,
2,1401,630.30396,27.20811,48.3,367866,630.30396,3.33,-1,1,-1,
2,1402,629.637,27.21567,48.3,603880,629.637,3.33,-1,1,-1,
2,1403,630.6387,27.21674,48.3,149812,630.6387,3.33,-1,1,-1,
2,1404,943.94946,27.21951,88.5,17862,943.94946,6.08,-1,1,-1,
2,1405,629.97,27.23231,48.3,620473,629.97,3.33,-1,1,-1,
2,1406,630.1187,27.23379,48.3,28209,630.1187,3.33,-1,1,-1,
2,1407,944.4498,27.24268,88,18654,944.4498,6.08,-1,1,-1,
2,1408,525.2287,27.24819,49.2,31352,525.2287,3.41,-1,1,-1,
2,1409,823.0629,27.24912,75.5,34848,823.0629,5.18,-1,1,-1,
2,1410,630.9733,27.25027,48.3,36211,630.9733,3.33,-1,1,-1,
2,1411,732.40186,27.25118,66.8,36911,732.40186,4.57,-1,1,-1,
2,1412,731.90497,27.25673,67.4,87117,731.90497,4.64,-1,1,-1,
2,1413,731.4034,27.26076,67.5,111631,731.4034,4.64,-1,1,-1,
2,1414,807.73883,27.26116,73.6,25890,807.73883,5.05,-1,1,-1,
2,1415,601.3512,27.2632,88.9,41126,601.3512,6.09,-1,1,-1,
2,1416,496.63165,27.26405,46.4,24569,496.63165,3.2,-1,1,-1,
2,1417,807.0664,27.26418,72.9,82253,807.0664,4.98,-1,1,-1,
